% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.197	1	2	20	8	3	28	2196	0	0
0.354	1	1	36	5	1	28	2196	0	0
0.364	1	1	37	5	1	28	2196	0	0
0.355	1	1	36	6	1	28	2196	0	0
0.071	1	1	8	2	1	12	597	0	0
0.365	1	1	37	6	1	28	2196	0	0
0.071	2	4	8	2	2	14	775	0	0
0.198	1	3	20	9	1	28	2196	0	0
0.356	1	1	36	7	1	28	2196	0	0
0.071	3	6	8	2	1	14	775	0	0
0.366	1	1	37	7	1	28	2196	0	0
0.357	1	1	36	8	1	28	2196	0	0
0.071	4	7	8	2	1	12	597	0	0
0.367	1	1	37	8	1	28	2196	0	0
0.071	5	9	8	2	2	10	469	0	0
0.199	1	1	20	10	2	28	2196	0	0
0.358	1	1	36	9	1	28	2196	0	0
0.09	1	22	10	1	1	10	469	0	0
0.368	1	1	37	9	1	28	2196	0	0
0.09	2	15	10	1	1	12	597	0	0
0.359	1	1	36	10	1	28	2196	0	0
0.09	3	17	10	1	1	18	967	0	0
0.369	1	1	37	10	1	28	2196	0	0
0.09	4	5	10	1	2	16	903	0	0
0.2	1	2	21	1	3	28	2196	0	0
0.09	6	23	10	1	2	18	967	0	0
0.36	1	1	37	1	1	28	2196	0	0
0.37	1	1	38	1	1	28	2196	0	0
0.09	7	11	10	1	1	8	421	0	0
0.371	1	1	38	2	1	28	2196	0	0
0.09	8	20	10	1	1	0	81	0	0
0.361	1	1	37	2	1	28	2196	0	0
0.09	9	6	10	1	1	2	133	0	0
0.09	10	1	10	1	1	8	421	0	0
0.201	1	3	21	2	1	28	2196	0	0
0.09	11	2	10	1	1	16	903	0	0
0.372	1	1	38	3	1	28	2196	0	0
0.09	12	3	10	1	1	8	421	0	0
0.362	1	1	37	3	1	28	2196	0	0
0.09	13	4	10	1	1	2	133	0	0
0.373	1	1	38	4	1	28	2196	0	0
0.363	1	1	37	4	1	28	2196	0	0
0.054	1	1	6	5	1	28	2196	0	0
0.054	2	5	6	5	1	28	2196	0	0
0.202	1	1	21	3	2	28	2196	0	0
0.364	1	1	37	5	1	28	2196	0	0
0.072	1	2	8	3	2	12	597	0	0
0.054	3	8	6	5	1	28	2196	0	0
0.374	1	1	38	5	1	28	2196	0	0
0.072	2	3	8	3	1	8	421	0	0
0.054	4	12	6	5	1	28	2196	0	0
0.072	3	5	8	3	2	8	421	0	0
0.365	1	1	37	6	1	28	2196	0	0
0.375	1	1	38	6	1	28	2196	0	0
0.072	4	8	8	3	2	8	421	0	0
0.054	5	13	6	5	1	28	2196	0	0
0.072	5	10	8	3	1	8	421	0	0
0.203	1	2	21	4	3	28	2196	0	0
0.091	1	18	10	2	2	12	597	0	0
0.054	6	16	6	5	1	28	2196	0	0
0.366	1	1	37	7	1	28	2196	0	0
0.376	1	1	38	7	1	28	2196	0	0
0.091	2	14	10	2	2	4	217	0	0
0.091	3	16	10	2	2	2	133	0	0
0.091	4	19	10	2	1	14	775	0	0
0.377	1	1	38	8	1	28	2196	0	0
0.367	1	1	37	8	1	28	2196	0	0
0.091	6	13	10	2	3	8	421	0	0
0.204	1	3	21	5	1	28	2196	0	0
0.091	7	10	10	2	3	8	421	0	0
0.368	1	1	37	9	1	28	2196	0	0
0.378	1	1	38	9	1	28	2196	0	0
0.091	8	20	10	2	1	0	81	0	0
0.091	9	21	10	2	2	0	81	0	0
0.091	10	1	10	2	1	8	421	0	0
0.379	1	1	38	10	1	28	2196	0	0
0.205	1	1	21	6	2	28	2196	0	0
0.369	1	1	37	10	1	28	2196	0	0
0.091	11	2	10	2	1	16	903	0	0
0.091	12	3	10	2	1	8	421	0	0
0.091	13	4	10	2	1	2	133	0	0
0.38	1	1	39	1	1	28	2196	0	0
0.37	1	1	38	1	1	28	2196	0	0
0.073	1	1	8	4	1	12	597	0	0
0.381	1	1	39	2	1	28	2196	0	0
0.371	1	1	38	2	1	28	2196	0	0
0.206	1	2	21	7	3	28	2196	0	0
0.073	2	4	8	4	2	14	775	0	0
0.073	3	6	8	4	1	14	775	0	0
0.382	1	1	39	3	1	28	2196	0	0
0.372	1	1	38	3	1	28	2196	0	0
0.073	4	7	8	4	1	12	597	0	0
0.073	5	9	8	4	2	10	469	0	0
0.383	1	1	39	4	1	28	2196	0	0
0.207	1	3	21	8	1	28	2196	0	0
0.373	1	1	38	4	1	28	2196	0	0
0.092	1	22	10	3	1	10	469	0	0
0.092	2	15	10	3	1	12	597	0	0
0.384	1	1	39	5	1	28	2196	0	0
0.374	1	1	38	5	1	28	2196	0	0
0.092	3	17	10	3	1	18	967	0	0
0.092	4	5	10	3	2	16	903	0	0
0.055	1	2	6	6	2	28	2196	0	0
0.385	1	1	39	6	1	28	2196	0	0
0.208	1	1	21	9	2	28	2196	0	0
0.092	6	7	10	3	1	8	421	0	0
0.055	2	4	6	6	2	28	2196	0	0
0.375	1	1	38	6	1	28	2196	0	0
0.092	7	9	10	3	2	2	133	0	0
0.386	1	
